"Step","bert_attention_stopword_removed - train/accuracy","bert_attention_stopword_removed - train/accuracy__MIN","bert_attention_stopword_removed - train/accuracy__MAX","bert_attention_hashtag - train/accuracy","bert_attention_hashtag - train/accuracy__MIN","bert_attention_hashtag - train/accuracy__MAX","bert_attention_cleaned_spelling_corrected - train/accuracy","bert_attention_cleaned_spelling_corrected - train/accuracy__MIN","bert_attention_cleaned_spelling_corrected - train/accuracy__MAX","bert_attention_cleaned_lemmatized - train/accuracy","bert_attention_cleaned_lemmatized - train/accuracy__MIN","bert_attention_cleaned_lemmatized - train/accuracy__MAX","bert_attention_cleaned - train/accuracy","bert_attention_cleaned - train/accuracy__MIN","bert_attention_cleaned - train/accuracy__MAX","bert_attention - train/accuracy","bert_attention - train/accuracy__MIN","bert_attention - train/accuracy__MAX"
"86","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.6875","0.6875","0.6875","0.78125","0.78125","0.78125","0.75","0.75","0.75","0.75","0.75","0.75"
"87","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"88","0.75","0.75","0.75","0.78125","0.78125","0.78125","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"89","0.6875","0.6875","0.6875","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125"
"90","0.6875","0.6875","0.6875","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.875","0.875","0.875"
"91","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.75","0.75","0.75"
"92","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125"
"93","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.71875","0.71875","0.71875","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125"
"94","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.75","0.75","0.75","0.9375","0.9375","0.9375"
"95","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"96","0.625","0.625","0.625","0.8125","0.8125","0.8125","0.71875","0.71875","0.71875","0.875","0.875","0.875","0.75","0.75","0.75","0.8125","0.8125","0.8125"
"97","0.75","0.75","0.75","0.9375","0.9375","0.9375","0.6875","0.6875","0.6875","0.78125","0.78125","0.78125","0.84375","0.84375","0.84375","0.75","0.75","0.75"
"98","0.6875","0.6875","0.6875","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.75","0.75","0.75","0.9375","0.9375","0.9375"
"99","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.65625","0.65625","0.65625","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"100","0.8125","0.8125","0.8125","0.625","0.625","0.625","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.75","0.75","0.75","1","1","1"
"101","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.71875","0.71875","0.71875","0.875","0.875","0.875","0.75","0.75","0.75","0.8125","0.8125","0.8125"
"102","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"103","0.6875","0.6875","0.6875","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125","0.71875","0.71875","0.71875","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375"
"104","0.625","0.625","0.625","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.625","0.625","0.625"
"105","0.875","0.875","0.875","0.875","0.875","0.875","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.8125","0.8125","0.8125"
"106","0.625","0.625","0.625","0.9375","0.9375","0.9375","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.75","0.75","0.75","0.8125","0.8125","0.8125"
"107","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.75","0.75","0.75","0.9375","0.9375","0.9375"
"108","0.6875","0.6875","0.6875","0.90625","0.90625","0.90625","0.71875","0.71875","0.71875","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.6875","0.6875","0.6875"
"109","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.75","0.75","0.75","0.75","0.75","0.75","0.875","0.875","0.875"
"110","0.6875","0.6875","0.6875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.75","0.75","0.75"
"111","0.875","0.875","0.875","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"112","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375"
"113","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"114","0.625","0.625","0.625","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"115","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.6875","0.6875","0.6875","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.875","0.875","0.875"
"116","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"117","0.875","0.875","0.875","0.65625","0.65625","0.65625","0.75","0.75","0.75","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","0.625","0.625","0.625"
"118","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875"
"119","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.75","0.75","0.75"
"120","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","1","1","1"
"121","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.96875","0.96875","0.96875","0.78125","0.78125","0.78125","0.875","0.875","0.875","0.625","0.625","0.625"
"122","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.75","0.75","0.75","0.78125","0.78125","0.78125","0.875","0.875","0.875"
"123","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875"
"124","0.6875","0.6875","0.6875","0.78125","0.78125","0.78125","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.75","0.75","0.75","0.875","0.875","0.875"
"125","0.875","0.875","0.875","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125"
"126","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"127","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125"
"128","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.875","0.875","0.875"
"129","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.75","0.75","0.75","0.6875","0.6875","0.6875","0.875","0.875","0.875"
"130","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.75","0.75","0.75"
"131","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","1","1","1"
